EVENT_NO,LAT,LONGT
16AC7761, 36.73593,-119.73635
16AC7790, 36.74502,-119.74546
16AC7797, 36.71358,-119.79206
16AC7801, 36.73992,-119.70012
16AC7821, 36.83710,-119.87144
16AC7877, 36.78644,-119.80865
16AC7896, 36.73590,-119.74549
16AC7934, 36.73955,-119.73857
16AC7931, 36.80809,-119.84752
16AC7938, 36.75045,-119.77250
16AC7974, 36.78203,-119.82653
16AC8034, 36.77208,-119.81763
16AC8013, 36.80353,-119.76959
16AC8062, 36.79961,-119.86244
16AC8306, 36.72863,-119.74556
16AC8581, 36.79374,-119.82030
16AC8619, 36.72133,-119.76369
16AC8651, 36.75583,-119.80745
16AC8796, 36.73579,-119.70010
16AC8831, 36.75048,-119.75444
16AC8897, 36.74319,-119.73642
16AC8995, 36.73587,-119.70928
16AC9072, 36.74864,-119.77251
16AC9164, 36.78141,-119.84439
16AC9177, 36.73589,-119.75456
16AC9217, 36.75766,-119.80284
16AC9233, 36.75768,-119.79884
16AC9240, 36.75024,-119.82542
16AC9270, 36.81216,-119.77591
16AC9285, 36.79405,-119.79503
16AC9290, 36.78688,-119.75432
16AC9292, 36.74330,-119.78940
16AC9293, 36.75025,-119.82430
16AC9294, 36.73593,-119.73635
16AC9315, 36.73867,-119.73634
16AC9314, 36.75041,-119.79279
16AC9318, 36.75041,-119.79191
16AC9323, 36.75044,-119.79481
16AC9329, 36.72975,-119.79598
16AC9337, 36.73950,-119.72737
16AC9359, 36.74773,-119.78149
16AC9427, 36.74332,-119.78827
16AC9480, 36.72857,-119.81311
16AC9627, 36.80808,-119.88949
16AC9639, 36.77938,-119.67313
16AC9655, 36.77938,-119.67313
16AC9784, 36.75045,-119.73638
16AC9961, 36.75196,-119.79930
16AC9971, 36.83745,-119.78351
16AD0043, 36.79412,-119.76227
16AD0139, 36.74867,-119.75672
16AD0160, 36.76445,-119.76355
16AD0294, 36.75037,-119.78735
16AD0344, 36.80855,-119.78260
16AD0370, 36.73593,-119.73635
16AD0384, 36.83746,-119.78123
16AD0422, 36.78657,-119.82648
16AD0425, 36.78648,-119.83989
16AD0482, 36.75772,-119.75899
